"id","location","employee_id","role","start_time","end_time","published","note"
44369,4,660,8,"2018-01-04 11:00:00","2018-01-04 15:00:00",1,""
44371,4,638,6,"2018-01-03 22:00:00","2018-01-04 03:30:00",1,"调班"
44375,4,403,3,"2018-01-03 11:00:00","2018-01-03 21:00:00",1,""
44378,4,483,4,"2018-01-03 06:30:00","2018-01-03 14:30:00",1,"顶班"
44379,4,323,5,"2018-01-03 22:00:00","2018-01-04 08:00:00",1,""
44380,4,515,3,"2018-01-03 21:00:00","2018-01-04 05:00:00",1,""
44381,4,660,6,"2018-01-03 14:30:00","2018-01-03 22:00:00",1,"加班"
44383,4,654,5,"2018-01-04 12:00:00","2018-01-04 22:00:00",1,""
44386,4,692,2,"2018-01-03 22:00:00","2018-01-04 08:00:00",1,""
44387,4,630,2,"2018-01-04 08:00:00","2018-01-04 18:00:00",1,""
44388,4,515,3,"2018-01-04 21:00:00","2018-01-05 05:00:00",1,""
44389,4,557,2,"2018-01-04 18:00:00","2018-01-05 01:00:00",1,""
44390,4,483,4,"2018-01-04 08:00:00","2018-01-04 14:30:00",1,""
44392,4,323,5,"2018-01-04 22:00:00","2018-01-05 08:00:00",1,""
44393,4,638,6,"2018-01-04 22:00:00","2018-01-05 03:30:00",1,"调班"
44395,4,630,2,"2018-01-03 08:00:00","2018-01-03 13:30:00",1,""
44396,4,638,8,"2018-01-05 18:30:00","2018-01-06 00:00:00",1,""
44398,4,403,3,"2018-01-04 11:00:00","2018-01-04 21:00:00",1,""
44399,4,577,3,"2018-01-05 11:00:00","2018-01-05 21:00:00",1,""
44400,4,646,4,"2018-01-05 08:00:00","2018-01-05 14:30:00",1,""
44401,4,515,3,"2018-01-05 21:00:00","2018-01-06 05:00:00",1,""
44403,4,635,5,"2018-01-05 12:00:00","2018-01-05 22:00:00",1,""
44404,4,599,2,"2018-01-05 18:00:00","2018-01-06 00:00:00",1,""
44406,4,323,5,"2018-01-05 22:00:00","2018-01-06 08:00:00",1,""
44407,4,637,2,"2018-01-06 16:00:00","2018-01-06 22:00:00",1,""
44411,4,635,5,"2018-01-06 12:00:00","2018-01-06 22:00:00",1,""
44412,4,599,2,"2018-01-06 18:00:00","2018-01-07 00:00:00",1,""
44413,4,323,5,"2018-01-06 22:00:00","2018-01-07 08:00:00",1,""
44414,4,403,3,"2018-01-06 20:00:00","2018-01-07 05:00:00",1,""
44418,4,577,3,"2018-01-06 10:00:00","2018-01-06 20:00:00",1,""
44419,4,630,2,"2018-01-07 08:00:00","2018-01-07 14:30:00",1,""
44420,4,621,2,"2018-01-06 21:00:00","2018-01-07 04:00:00",1,""
44421,4,483,4,"2018-01-06 08:00:00","2018-01-06 14:00:00",1,""
44423,4,660,6,"2018-01-06 14:00:00","2018-01-06 23:00:00",1,""
44424,4,672,2,"2018-01-06 11:00:00","2018-01-06 16:30:00",1,"加班"
44425,4,672,2,"2018-01-07 17:00:00","2018-01-07 22:00:00",1,""
44427,4,483,4,"2018-01-07 08:00:00","2018-01-07 14:00:00",1,""
44428,4,637,2,"2018-01-07 11:00:00","2018-01-07 17:20:00",1,"加班"
44430,4,551,5,"2018-01-07 22:00:00","2018-01-08 08:00:00",0,""
44431,4,577,3,"2018-01-07 10:00:00","2018-01-07 21:00:00",1,"加班"
44433,4,654,6,"2018-01-07 14:00:00","2018-01-07 22:00:00",1,""
44434,4,621,6,"2018-01-07 22:00:00","2018-01-08 03:30:00",0,""
44436,4,660,8,"2018-01-07 11:00:00","2018-01-07 16:00:00",1,""
44437,4,599,2,"2018-01-07 18:00:00","2018-01-08 01:00:00",0,""
44438,4,635,5,"2018-01-07 12:00:00","2018-01-07 22:00:00",1,""
44440,4,692,2,"2018-01-08 22:00:00","2018-01-09 08:00:00",1,""
44441,4,405,2,"2018-01-05 08:00:00","2018-01-05 14:00:00",1,""
44442,4,405,2,"2018-01-06 08:00:00","2018-01-06 14:30:00",1,""
44443,4,421,2,"2018-01-02 12:00:00","2018-01-02 21:00:00",1,""
44444,4,421,2,"2018-01-03 12:00:00","2018-01-03 21:00:00",1,""
44447,4,515,3,"2018-01-07 21:00:00","2018-01-08 05:00:00",0,""
44448,4,549,6,"2018-01-01 22:00:00","2018-01-02 03:30:00",1,""
44449,4,549,8,"2018-01-02 18:30:00","2018-01-02 23:00:00",1,""
44450,4,549,6,"2018-01-06 23:00:00","2018-01-07 06:00:00",1,""
44451,4,551,2,"2018-01-05 23:59:00","2018-01-06 08:00:00",1,""
44452,4,551,2,"2018-01-06 23:59:00","2018-01-07 08:00:00",1,""
44453,4,577,3,"2018-01-01 11:00:00","2018-01-01 21:00:00",1,""
44454,4,599,2,"2018-01-01 17:00:00","2018-01-02 00:00:00",1,""
44455,4,621,2,"2018-01-01 18:00:00","2018-01-02 01:30:00",1,""
44456,4,635,8,"2018-01-01 18:00:00","2018-01-01 23:00:00",1,""
44457,4,635,5,"2018-01-02 12:00:00","2018-01-02 22:00:00",1,""
44458,4,654,8,"2018-01-02 11:00:00","2018-01-02 15:00:00",1,""
44459,4,654,5,"2018-01-03 12:00:00","2018-01-03 22:00:00",1,""
44460,4,660,6,"2018-01-05 16:00:00","2018-01-05 23:00:00",1,""
44461,4,690,2,"2018-01-03 18:30:00","2018-01-04 01:00:00",1,""
44462,4,690,2,"2018-01-04 22:00:00","2018-01-05 08:00:00",1,""
44463,4,690,2,"2018-01-05 20:00:00","2018-01-06 04:00:00",1,""
44464,4,692,2,"2018-01-07 23:59:00","2018-01-08 08:00:00",0,""
44465,4,693,2,"2018-01-01 11:00:00","2018-01-01 17:00:00",1,""
44466,4,421,2,"2018-01-05 12:00:00","2018-01-05 20:00:00",1,"换班"
44467,4,621,6,"2018-01-02 21:00:00","2018-01-03 03:30:00",1,""
44468,4,636,3,"2018-01-02 20:00:00","2018-01-03 05:00:00",1,""
44489,2,101,2,"2018-01-02 10:30:00","2018-01-02 15:00:00",0,""
44490,2,682,7,"2018-01-02 10:30:00","2018-01-02 14:45:00",0,""
44491,2,657,2,"2018-01-02 17:30:00","2018-01-02 21:30:00",0,""
44492,2,427,2,"2018-01-02 12:30:00","2018-01-02 15:00:00",0,""
44494,2,94,2,"2018-01-02 18:00:00","2018-01-03 00:00:00",0,""
44495,2,679,5,"2018-01-02 10:00:00","2018-01-02 15:00:00",0,""
44496,2,112,3,"2018-01-02 18:30:00","2018-01-03 01:00:00",0,""
44497,2,471,2,"2018-01-02 18:00:00","2018-01-03 01:00:00",0,""
44498,2,97,2,"2018-01-02 10:00:00","2018-01-02 14:30:00",0,""
44499,2,91,11,"2018-01-02 10:30:00","2018-01-02 14:30:00",0,""
44500,2,254,10,"2018-01-02 18:00:00","2018-01-03 01:00:00",0,""
44501,2,658,5,"2018-01-02 11:30:00","2018-01-02 15:30:00",0,""
44502,2,112,3,"2018-01-03 18:30:00","2018-01-04 01:00:00",0,""
44503,2,254,10,"2018-01-03 18:00:00","2018-01-04 01:00:00",0,""
44504,2,650,6,"2018-01-03 11:00:00","2018-01-03 15:30:00",0,""
44508,2,657,2,"2018-01-03 17:30:00","2018-01-04 00:00:00",0,""
44510,2,106,2,"2018-01-03 12:00:00","2018-01-03 15:00:00",0,""
44511,2,97,2,"2018-01-03 10:00:00","2018-01-03 15:00:00",0,""
44512,2,641,2,"2018-01-03 11:30:00","2018-01-03 15:30:00",0,""
44513,2,471,2,"2018-01-03 18:00:00","2018-01-04 01:00:00",0,""
44514,2,682,7,"2018-01-03 10:30:00","2018-01-03 15:00:00",0,""
44515,2,556,2,"2018-01-03 12:30:00","2018-01-03 15:00:00",0,""
44516,2,664,8,"2018-01-03 11:00:00","2018-01-03 23:00:00",0,""
44519,2,91,11,"2018-01-03 10:30:00","2018-01-03 14:30:00",0,""
44520,2,679,5,"2018-01-03 10:00:00","2018-01-03 14:45:00",0,""
44523,2,682,7,"2018-01-04 11:30:00","2018-01-04 14:30:00",0,""
